sequence,native_EAO_contribution_pp,M67_EAO_contribution_pp,M82_EAO_contribution_pp,M67_EAO_delta_pp,M82_EAO_delta_pp,native_ACC_contribution_pp,M67_ACC_contribution_pp,M82_ACC_contribution_pp,M67_ACC_delta_pp,M82_ACC_delta_pp,native_ROB_contribution_pp,M67_ROB_contribution_pp,M82_ROB_contribution_pp,M67_ROB_delta_pp,M82_ROB_delta_pp
bag02_indoor_2,1.537844860883331,1.4485779137945698,1.330178260053492,-0.08926694708876126,-0.20766660082983912,1.4745764756931272,1.5028912259564058,1.2428254911390229,0.028314750263278565,-0.23175098455410437,1.397944215446298,1.410938042857925,1.1406424809404836,0.012993827411627024,-0.2573017345058144
bag_outside_2,0.3885514946357793,0.3842919013930267,0.38042648725636563,-0.004259593242752602,-0.008125007379413685,0.3979170886656313,0.40087011515800636,0.378832620388416,0.002953026492375055,-0.019084468277215327,0.6997683952390978,0.6997683952390978,0.6867714818055648,0.0,-0.012996913433533042
bag_outside_3,0.5943676425527831,0.5860346559026136,0.5816893461683441,-0.00833298665016946,-0.012678296384438958,0.5592269756850086,0.5609347824757784,0.5691719352503806,0.0017078067907698724,0.009944959565372002,0.8471532430859167,0.8471532430859167,0.8471532430859167,0.0,0.0
ball06_indoor_1,0.07817840654053693,0.15153354126886617,0.12265378585892087,0.07335513472832925,0.04447537931838394,0.11385239507331153,0.11140122477240356,0.11132833139345814,-0.0024511703009079677,-0.002524063679853389,0.35897757126796054,0.3489732782981977,0.352308042621452,-0.010004292969762851,-0.006669528646508549
ball06_indoor_2,0.11297250485250462,0.0855527219237474,0.060845349795618245,-0.027419782928757228,-0.05212715505688638,0.054909922309716315,0.033510152940105765,0.024430431752443707,-0.02139976936961055,-0.030479490557272608,0.18299776981125854,0.10866105517195845,0.07747494005942886,-0.07433671463930008,-0.10552282975182968
ball11_wild_1,0.03763011561841811,0.0372215548856855,0.03658803218772315,-0.000408560732732606,-0.001042083430694958,0.08007054770701387,0.08045893166837184,0.0809622514039576,0.0003883839613579715,0.0008917036969437325,0.2947696956936377,0.2947696956936377,0.2947696956936377,0.0,0.0
ball11_wild_2,0.01191919777073819,0.011901626714268271,0.011782302740529986,-1.757105646991823e-05,-0.00013689503020820372,0.04897907625736293,0.04955745181304754,0.050107846830830506,0.0005783755556846085,0.0011287705734675732,0.21054978263831262,0.21054978263831262,0.21054978263831262,0.0,0.0
ball11_wild_5,0.3961990460237365,0.3918077935112703,0.38630492989118537,-0.004391252512466193,-0.009894116132551145,0.40689813448530393,0.40976050163488387,0.41483416217662705,0.0028623671495799363,0.007936027691323122,0.718346317236596,0.718346317236596,0.718346317236596,0.0,0.0
ball20_indoor_1,0.13781028438505305,0.13732054205020905,0.13654303681932586,-0.0004897423348440011,-0.0012672475657271864,0.18835314593155672,0.19045004331476806,0.19347712785302718,0.002096897383211338,0.005123981921470455,0.45206276860578887,0.45206276860578887,0.45206276860578887,0.0,0.0
ball20_indoor_4,0.07437731487272656,0.07492723019095163,0.07420726132546393,0.0005499153182250693,-0.00017005354726262745,0.12002414400987539,0.12305273887805382,0.12449750598940429,0.0030285948681784275,0.004473361979528898,0.38022813688212925,0.38022813688212925,0.38022813688212925,0.0,0.0
