arm,sequence,valid_frames,iou_sum,mean_iou,low_iou_frames,failure_episodes,invalid_gt_frames
category_old,notebook02_indoor,2494,1321.6674102158092,0.5299388172477182,989,5,151
category_swapped,bag05_indoor,587,494.63189793846357,0.8426437784300913,11,0,301
category_swapped,ball07_indoor,2179,1677.2428988961158,0.7697305639725176,358,9,339
category_swapped,ball19_indoor,1380,1160.8485571887306,0.8411946066585004,19,1,0
category_swapped,beautifullight01_indoor,910,382.71676223319315,0.42056787058592654,473,8,359
category_swapped,book06_indoor,1545,1213.4130445571711,0.7853806113638648,149,3,445
category_swapped,car01_indoor,1402,528.4974738566864,0.3769596817808034,833,4,139
category_swapped,car02_indoor,565,512.3617369274253,0.9068349326149121,14,1,187
category_swapped,colacan01_indoor,2801,1360.139133096575,0.48559055090916636,1186,10,254
category_swapped,colacan04_indoor,567,333.18915131394317,0.5876351875025453,197,6,433
category_swapped,container01_indoor,621,575.318783444296,0.9264392648056295,3,0,139
category_swapped,cup08_indoor,1321,1095.600658632287,0.8293721867012013,103,1,129
category_swapped,cup10_indoor,2147,1855.613834062581,0.8642821770202985,86,2,48
category_swapped,cup13_indoor,1658,1337.6128898471402,0.80676290099345,51,2,103
category_swapped,egg_indoor,3433,2519.278222917529,0.7338416029471393,549,8,118
category_swapped,flower02_wild,467,295.6136863860248,0.6330057524326014,113,2,188
category_swapped,flower03_indoor,547,461.5245675479103,0.8437377834513899,0,0,196
category_swapped,flowerbasket_indoor,851,261.74390914603805,0.30757216115868163,558,3,149
category_swapped,ghostmask_indoor,1025,724.909571770428,0.7072288505077347,221,3,139
category_swapped,glass03_indoor,570,508.80201410824577,0.8926351124706066,30,1,104
category_swapped,mobilephone01_indoor,1217,921.3939407601764,0.757102662908937,171,3,200
category_swapped,mobilephone02_indoor,610,342.1883419480497,0.5609644949968028,208,1,90
category_swapped,notebook02_indoor,2494,1608.8314900579217,0.6450807899189742,668,5,151
native,bag05_indoor,587,485.992161220083,0.8279253172403458,25,1,301
native,ball07_indoor,2179,796.8161301712615,0.3656797293121898,1288,8,339
native,ball19_indoor,1380,1155.8912274051568,0.8376023386993889,19,1,0
native,beautifullight01_indoor,910,559.4832711270465,0.6148167814582928,270,4,359
native,book06_indoor,1545,1013.7672081692652,0.6561600052875504,381,3,445
native,car01_indoor,1402,547.1864382255281,0.39028989887698157,814,3,139
native,car02_indoor,565,391.6098153367722,0.6931147174102164,143,2,187
native,colacan01_indoor,2801,283.33593647718,0.10115527899935023,2464,10,254
native,colacan04_indoor,567,156.80810544827293,0.2765575051997759,392,12,433
native,container01_indoor,621,574.9543623699495,0.9258524353783406,4,0,139
native,cup08_indoor,1321,1098.2726139509293,0.8313948629454423,103,1,129
native,cup10_indoor,2147,1859.9395587554895,0.8662969533094967,77,1,48
native,cup13_indoor,1658,1276.8300872565617,0.7701025858000975,111,3,103
native,egg_indoor,3433,2522.4921413802276,0.7347777865948814,523,9,118
native,flower02_wild,467,303.80563875152296,0.6505474063201776,100,2,188
native,flower03_indoor,547,458.55314687342366,0.8383055701525113,0,0,196
native,flowerbasket_indoor,851,648.4832839275659,0.7620250104906767,123,3,149
native,ghostmask_indoor,1025,733.9882352702633,0.7160860831905008,193,3,139
native,glass03_indoor,570,431.8285333006747,0.7575939180713591,111,3,104
native,mobilephone01_indoor,1217,888.2215484229087,0.7298451507172626,207,5,200
native,mobilephone02_indoor,610,519.2774090781404,0.8512744411117056,1,0,90
native,notebook02_indoor,2494,2139.845474085696,0.8579973833543287,48,1,151
M84_protocol_control,bag05_indoor,587,454.5619483297007,0.7743815133385021,62,2,301
M84_protocol_control,ball07_indoor,2179,1683.369174167004,0.7725420716691161,358,9,339
M84_protocol_control,ball19_indoor,1380,1162.5533193993383,0.8424299415937234,18,1,0
M84_protocol_control,beautifullight01_indoor,910,620.9456366259858,0.6823578424461383,202,2,359
M84_protocol_control,book06_indoor,1545,1054.2032903944812,0.6823322267925445,317,3,445
M84_protocol_control,car01_indoor,1402,620.4051491320549,0.44251437170617325,741,2,139
M84_protocol_control,car02_indoor,565,184.19113895756408,0.3260020158540957,366,2,187
M84_protocol_control,colacan01_indoor,2801,1358.630224569907,0.4850518474008951,1186,10,254
M84_protocol_control,colacan04_indoor,567,233.44829750881192,0.41172539243176703,285,10,433
M84_protocol_control,container01_indoor,621,574.3212401666746,0.9248329149221812,3,0,139
M84_protocol_control,cup08_indoor,1321,1174.7555162315919,0.889292593665096,1,0,129
M84_protocol_control,cup10_indoor,2147,1857.66101152345,0.8652356830570331,39,1,48
M84_protocol_control,cup13_indoor,1658,1203.082527157677,0.7256227546186231,209,4,103
M84_protocol_control,egg_indoor,3433,2438.0552628469854,0.7101821330751487,639,9,118
M84_protocol_control,flower02_wild,467,290.8912803503582,0.6228935339408099,120,2,188
M84_protocol_control,flower03_indoor,547,461.98415155337716,0.8445779735893549,0,0,196
