sequence,frames,control_p,control_r,control_all_box_r,old_m82_p,old_m82_r,old_m82_all_box_r,delta_r,delta_all_box_r,sustained_new_only_runs,sustained_new_only_frames,longest_new_only_run
cartman_robotarm_lab_noocc,2058,84.28561660076774,84.12179616033865,84.26669520098113,81.79067188052129,81.23427275208236,81.72305889724127,2.8875234082562855,2.5436363037398593,0,0,0
case,960,31.861189797283696,35.39297262858637,36.012868769271996,77.72897998109681,41.431012914452545,42.305923027385155,-6.038040285866174,-6.293054258113159,1,59,59
container_room_noocc_1,1644,88.07601492095212,88.07601492095212,88.07601492095212,86.96514697115157,86.96514697115157,86.96514697115157,1.11086794980055,1.11086794980055,0,0,0
dog_outside,1055,79.55620443090264,80.01081131336495,80.095861147252,78.32113550837325,77.60505655515382,79.51021195329028,2.405754758211131,0.5856491939617143,0,0,0
human_entry_occ_1,532,70.80926598627157,59.22229518851804,63.855861790994915,75.77502872868546,54.42024790514682,55.55051048410115,4.802047283371216,8.305351306893762,1,10,10
human_entry_occ_2,661,48.30975927881327,63.83789618986039,70.04976781405486,80.85154154594044,75.43737581741765,77.15375038962566,-11.599479627557258,-7.103982575570797,1,17,17
humans_corridor_occ_1,1193,50.459660048446565,34.72067517440132,35.41312319171052,54.85253437876975,72.5635407769305,72.66387209323278,-37.84286560252917,-37.250748901522265,1,323,323
humans_corridor_occ_2_A,1360,47.881228420096306,49.470360099262564,53.852630550090765,52.3458913881338,74.85538003699942,75.81649752871336,-25.385019937736857,-21.96386697862259,2,174,104
humans_corridor_occ_2_B,1360,64.01514564921514,37.79383885010871,39.48185954108476,58.29971086757041,69.1725402398976,69.7390242813367,-31.378701389788887,-30.257164740251937,2,363,322
humans_longcorridor_staricase_occ_1,1436,53.969201312710766,35.11457649512912,40.59247691537861,56.201094135168205,48.93578175230993,49.643606373461935,-13.821205257180807,-9.051129458083324,2,82,55
humans_shirts_room_occ_1_A,1533,33.38210178420189,28.800696091059702,30.035798308309825,71.92977997598125,72.57466765852452,73.12256519276299,-43.77397156746481,-43.08676688445317,11,735,168
humans_shirts_room_occ_1_B,1430,37.029705030385934,35.19655131601039,45.04317663150486,40.56253167903395,46.73270976522363,49.83815005540497,-11.53615844921324,-4.794973423900103,5,118,54
jug,874,25.56826325198295,26.17856099292224,26.17856099292224,25.82802899529361,26.022712630936528,26.173414382232945,0.1558483619857114,0.005146610689294562,0,0,0
mug_ankara,934,80.54979136529468,33.437778113179355,33.6275631129348,81.08614131815757,33.015179555271054,33.20006735333793,0.4225985579083016,0.4274957595968729,0,0,0
mug_gs,1029,82.61839957532781,59.44726222316691,60.15532868112172,82.15331352652035,61.09562511684903,61.266727558625135,-1.648362893682119,-1.1113988775034116,0,0,0
paperpunch,859,34.328909852521704,34.42082125774934,40.816082495455056,76.56819028966525,66.7281015777404,72.91143706348242,-32.307280319991065,-32.09535456802737,4,295,128
