sequence,frames,control_p,control_r,control_all_box_r,old_m82_p,old_m82_r,old_m82_all_box_r,delta_r,delta_all_box_r
pigeon01_wild,668,80.893774086553,80.65157715815013,80.80848488815911,80.18149220972445,78.02091307832471,79.62222352340814,2.630664079825422,1.186261364750976
pigeon02_wild,303,82.93836390603636,79.64279977731968,80.57174263007785,79.07701061764968,76.1967221514439,77.17193667384844,3.4460776258757875,3.3998059562294145
pigeon04_wild,143,85.24759052189134,81.67076854195183,82.81108322516992,87.60493853339464,70.4515239953873,81.61950797843656,11.219244546564525,1.1915752467333647
pot_indoor,1056,65.97163973295527,61.368967193446764,64.45030110045752,71.34526210647778,86.88927270005554,87.7051166172078,-25.52030550660878,-23.254815516750284
roller_indoor,850,61.22960282914113,70.64954172593207,74.01131960441153,52.595585784275414,64.89486122921366,65.45680504405021,5.754680496718407,8.554514560361312
shoes02_indoor,1317,18.486710424230544,18.272908838753708,18.73591877727161,32.266282693393315,32.46530371231941,32.818505557212205,-14.192394873565704,-14.082586779940595
squirrel_wild,1010,46.01312598560412,29.03267228147874,29.554282589647013,73.66454977540306,67.33705398345434,68.32986809100034,-38.3043817019756,-38.77558550135332
stick_indoor,903,38.110482565836584,35.60656444625489,37.563954980960126,63.619678139387624,62.5569886381729,62.91466463425387,-26.95042419191801,-25.35070965329374
toiletpaper01_indoor,1600,86.07280444507047,84.85583677296795,85.81264289572536,79.34513860442073,76.69350158165089,77.11035991071888,8.162335191317055,8.702282985006477
toy02_indoor,1140,81.0338404422083,79.8965233833703,80.84538211328926,81.52954865476725,80.88589432328224,81.2819977465958,-0.9893709399119501,-0.43661563330654474
toy09_indoor,1344,73.15563213606005,70.81508735789743,71.68718793822593,64.91583983726376,62.93552031841866,63.18556222118554,7.879567039478765,8.50162571704039
ukulele01_indoor,1613,70.21991430024894,55.590765487697084,59.87400802271071,64.29962722960771,46.305328564605546,48.15369733501389,9.285436923091538,11.720310687696823
yogurt_indoor,1614,61.008728736742235,60.366133700481626,60.84895953017784,62.267074714129954,59.5665200487092,61.527429112275826,0.7996136517724253,-0.6784695820979891
