arm,sequence,valid_frames,iou_sum,mean_iou,low_iou_frames,failure_episodes,invalid_gt_frames
M82_mask_control,notebook02_indoor,2494,2156.057573028341,0.8644978239889097,41,1,151
category,bag05_indoor,587,454.5619483297007,0.7743815133385021,62,2,301
category,ball07_indoor,2179,1683.369174167004,0.7725420716691161,358,9,339
category,ball19_indoor,1380,1162.5533193993385,0.8424299415937235,18,1,0
category,beautifullight01_indoor,910,620.9456366259858,0.6823578424461383,202,2,359
category,book06_indoor,1545,1054.203290394481,0.6823322267925443,317,3,445
category,car01_indoor,1402,620.4051491320549,0.44251437170617325,741,2,139
category,car02_indoor,565,184.19113895756408,0.3260020158540957,366,2,187
category,colacan01_indoor,2801,1358.6302245699073,0.4850518474008952,1186,10,254
category,colacan04_indoor,567,233.44829750881192,0.41172539243176703,285,10,433
category,container01_indoor,621,574.3212401666747,0.9248329149221814,3,0,139
category,cup08_indoor,1321,1174.7555162315916,0.8892925936650958,1,0,129
category,cup10_indoor,2147,1857.6610115234498,0.865235683057033,39,1,48
category,cup13_indoor,1658,1203.0825271576769,0.7256227546186229,209,4,103
category,egg_indoor,3433,2438.055262846985,0.7101821330751485,639,9,118
category,flower02_wild,467,290.8912803503583,0.62289353394081,120,2,188
category,flower03_indoor,547,461.98415155337716,0.8445779735893549,0,0,196
category,flowerbasket_indoor,851,651.7161133094137,0.7658238699288057,120,2,149
category,ghostmask_indoor,1025,837.4450806559348,0.8170195908838388,72,1,139
category,glass03_indoor,570,504.2380373288228,0.8846281356646014,35,1,104
category,mobilephone01_indoor,1217,644.6821619657994,0.5297306178847982,483,8,200
category,mobilephone02_indoor,610,341.7741460127736,0.560285485266842,208,1,90
category,notebook02_indoor,2494,2121.228991761607,0.8505328756060975,77,2,151
category_empty,bag05_indoor,587,485.99216122008295,0.8279253172403458,25,1,301
category_empty,ball07_indoor,2179,796.8161301712614,0.3656797293121897,1288,8,339
category_empty,ball19_indoor,1380,1155.8912274051568,0.8376023386993889,19,1,0
category_empty,beautifullight01_indoor,910,559.4832711270465,0.6148167814582928,270,4,359
category_empty,book06_indoor,1545,1013.7672081692651,0.6561600052875503,381,3,445
category_empty,car01_indoor,1402,547.1864382255281,0.39028989887698157,814,3,139
category_empty,car02_indoor,565,391.6098153367722,0.6931147174102164,143,2,187
category_empty,colacan01_indoor,2801,283.33593647718,0.10115527899935023,2464,10,254
category_empty,colacan04_indoor,567,156.80810544827293,0.2765575051997759,392,12,433
category_empty,container01_indoor,621,574.9543623699495,0.9258524353783406,4,0,139
category_empty,cup08_indoor,1321,1098.2726139509296,0.8313948629454425,103,1,129
category_empty,cup10_indoor,2147,1859.9395587554895,0.8662969533094967,77,1,48
category_empty,cup13_indoor,1658,1276.8300872565617,0.7701025858000975,111,3,103
category_empty,egg_indoor,3433,2522.4921413802276,0.7347777865948814,523,9,118
category_empty,flower02_wild,467,303.8056387515229,0.6505474063201775,100,2,188
category_empty,flower03_indoor,547,458.55314687342366,0.8383055701525113,0,0,196
category_empty,flowerbasket_indoor,851,648.4832839275659,0.7620250104906767,123,3,149
category_empty,ghostmask_indoor,1025,733.9882352702632,0.7160860831905007,193,3,139
category_empty,glass03_indoor,570,431.82853330067474,0.7575939180713592,111,3,104
category_empty,mobilephone01_indoor,1217,888.2215484229087,0.7298451507172626,207,5,200
category_empty,mobilephone02_indoor,610,519.2774090781404,0.8512744411117056,1,0,90
category_empty,notebook02_indoor,2494,2139.8454740856955,0.8579973833543286,48,1,151
category_swapped,bag05_indoor,587,446.69956453461646,0.7609873331083755,66,2,301
category_swapped,ball07_indoor,2179,1691.7999387500097,0.7764111696879347,331,7,339
category_swapped,ball19_indoor,1380,1162.8292662386646,0.8426299030714961,19,1,0
category_swapped,beautifullight01_indoor,910,505.9682489221358,0.5560090647495998,334,6,359
category_swapped,book06_indoor,1545,1234.2967316958725,0.7988975609682023,112,3,445
category_swapped,car01_indoor,1402,883.1496205715371,0.6299212700224943,457,3,139
