family,index,threshold,precision,recall,f_score,best
M82_category_empty,4,0.940623,0.9237105107623236,0.059133358173872025,0.11115113235838828,False
M82_category_empty,5,0.937339,0.9225002585156894,0.07150293940476568,0.1327188488397732,False
M82_category_empty,6,0.934757,0.8984436398154972,0.08283889472154198,0.15169143538670757,False
M82_category_empty,7,0.932297,0.8792143519711594,0.09283096875582414,0.1679311001187996,False
M82_category_empty,8,0.930053,0.8768611189268909,0.10125994644679691,0.18155402861074896,False
M82_category_empty,9,0.928353,0.8772455593332658,0.1084405397103534,0.19302084508427358,False
M82_category_empty,10,0.926457,0.8774855537290314,0.11506906076408403,0.20345769799925137,False
M82_category_empty,11,0.924901,0.878394249569616,0.12244320301525523,0.2149268198341423,False
M82_category_empty,12,0.923084,0.8781501860053832,0.12951130628126023,0.2257313166599337,False
M82_category_empty,13,0.920802,0.8756118898006681,0.13724785504973783,0.2373000888665754,False
M82_category_empty,14,0.918157,0.8767660550610565,0.14521957851789583,0.24916905441984108,False
M82_category_empty,15,0.915548,0.8784528748573707,0.15422925128526352,0.26239077010988493,False
M82_category_empty,16,0.912617,0.8793044730338,0.16345135868194066,0.27566091014039434,False
M82_category_empty,17,0.909096,0.8746879553106581,0.17397986418021769,0.29023126072258515,False
M82_category_empty,18,0.904719,0.8748133716858987,0.1846773203775323,0.30497330561487096,False
M82_category_empty,19,0.900599,0.8737532670257836,0.19565635263971917,0.3197191687629966,False
M82_category_empty,20,0.896649,0.8682883859227359,0.20600165065800996,0.33299916159804877,False
M82_category_empty,21,0.89229,0.8686025386990773,0.2168215690812324,0.34701968382444337,False
M82_category_empty,22,0.888036,0.868952654812947,0.22783478552511968,0.36101369227891195,False
M82_category_empty,23,0.883442,0.8689724130683552,0.23897393307561998,0.37485886569848736,False
M82_category_empty,24,0.878174,0.868609663917633,0.2503421592712441,0.3886666330446736,False
M82_category_empty,25,0.873351,0.8683734437965359,0.26227468819936905,0.4028704736111016,False
M82_category_empty,26,0.867592,0.8669976218317287,0.27334085587129137,0.41564127953871866,False
M82_category_empty,27,0.862043,0.8669277868797011,0.28444957877633664,0.4283517310016343,False
M82_category_empty,28,0.856634,0.8666750906307318,0.29566053846444496,0.44090814658942495,False
M82_category_empty,29,0.851075,0.8661278256685434,0.3065770261990663,0.4528588633002473,False
M82_category_empty,30,0.844277,0.8658775954621675,0.3175085953873959,0.46463881569420473,False
M82_category_empty,31,0.837466,0.8630222776752281,0.32794538304933324,0.4752843939693952,False
M82_category_empty,32,0.830703,0.8615897312101296,0.3388769662714146,0.4864323431805672,False
M82_category_empty,33,0.822997,0.860694085139301,0.3491571819989025,0.49678424033263113,False
M82_category_empty,34,0.815516,0.8596790727768581,0.35945358276931083,0.5069419170024656,False
M82_category_empty,35,0.807697,0.8598199923716358,0.3699120578462692,0.5172798134344735,False
M82_category_empty,36,0.800171,0.8586596223884956,0.37965219684335644,0.5265103779477743,False
M82_category_empty,37,0.791686,0.8582059053417873,0.38979260057443704,0.5360940899939991,False
M82_category_empty,38,0.782621,0.8579090225315711,0.39982607047187285,0.5454477579727105,False
M82_category_empty,39,0.773839,0.8569949660433561,0.41009191507066106,0.5547318215806096,False
M82_category_empty,40,0.765974,0.8558931872129332,0.4198662638718925,0.5633674506317358,False
M82_category_empty,41,0.757213,0.8551509410932936,0.429539210008473,0.5718435053934158,False
M82_category_empty,42,0.747921,0.8544060941177313,0.43905702338608577,0.5800443651925868,False
M82_category_empty,43,0.7382,0.8526494887661482,0.44919598503104674,0.5884058203549805,False
M82_category_empty,44,0.728745,0.8519447617066361,0.4587614639954788,0.5963799033829295,False
M82_category_empty,45,0.718892,0.850158876543813,0.468386643904533,0.6040035126502169,False
M82_category_empty,46,0.708518,0.8491682956260259,0.4777196930397734,0.6114523923507255,False
M82_category_empty,47,0.698563,0.8485227574141206,0.4868141409159597,0.6186796421408994,False
M82_category_empty,48,0.68896,0.8474586674921194,0.49594870666819557,0.6257164255335004,False
M82_category_empty,49,0.679268,0.8458005801488478,0.5053339733310754,0.6326709160261247,False
M82_category_empty,50,0.671169,0.8440194310329463,0.5152825761848603,0.6398997492292372,False
M82_category_empty,51,0.661769,0.8426416165666901,0.5244514177530483,0.6465172148083127,False
M82_category_empty,52,0.653355,0.8414987600880731,0.5337799563535873,0.6532132956926533,False
M82_category_empty,53,0.644722,0.8398484601981597,0.5429818772151084,0.65954944891888,False
M82_category_empty,54,0.637015,0.8368992381339986,0.5511525475228427,0.6646137440746948,False
M82_category_empty,55,0.629148,0.834770077339284,0.5596970473142983,0.6701030654834454,False
M82_category_empty,56,0.621131,0.8329143347827226,0.5679843001926458,0.6753982818611367,False
M82_category_empty,57,0.613988,0.8308726663250194,0.5767992964317948,0.6809068902986655,False
M82_category_empty,58,0.605781,0.8291304706083001,0.5853126047013597,0.6862072060167751,False
M82_category_empty,59,0.597732,0.8275676217770155,0.5937275863745012,0.6914112195993183,False
M82_category_empty,60,0.590509,0.8264314366732933,0.602714251032036,0.6970625999419808,False
M82_category_empty,61,0.582331,0.8242840665851034,0.6115068991990807,0.7021292174538316,False
M82_category_empty,62,0.574456,0.8227142877905455,0.6201889725797931,0.7072384447181522,False
M82_category_empty,63,0.567316,0.8209650809426321,0.6277625799853074,0.7114810756913246,False
M82_category_empty,64,0.559568,0.8186200010583016,0.6365161875117149,0.7161733536522435,False
M82_category_empty,65,0.551911,0.8166424343982903,0.6450891860311226,0.7207988059117274,False
M82_category_empty,66,0.543958,0.8153143030808058,0.6537823907319887,0.7256678699381498,False
M82_category_empty,67,0.535988,0.8134500090125841,0.6616330398223126,0.7297289500161884,False
M82_category_empty,68,0.528073,0.8112941571346994,0.6692788742527861,0.7334755242247404,False
M82_category_empty,69,0.519918,0.8093264793572903,0.6766735996962067,0.7370791830172434,False
M82_category_empty,70,0.511213,0.8072639643831478,0.6840175907055731,0.7405479536665217,False
M82_category_empty,71,0.501935,0.8048623329618354,0.6906922451488011,0.7434194377465071,False
M82_category_empty,72,0.490747,0.8024037502718979,0.6973190854037417,0.7461798086338506,False
M82_category_empty,73,0.48006,0.7991688574404111,0.7037593867967377,0.7484357117059647,False
M82_category_empty,74,0.469545,0.796110670520537,0.7094853738783805,0.7503060051520383,False
M82_category_empty,75,0.456149,0.7919452461611414,0.7145481996320936,0.751258561969616,False
M82_category_empty,76,0.443304,0.7881600801752046,0.7194346768410218,0.7522309160879355,False
M82_category_empty,77,0.429948,0.7834221138888428,0.7235212244281874,0.7522811411317,False
M82_category_empty,78,0.41721,0.7795350625185132,0.7275940131924923,0.7526695008448819,True
M82_category_empty,79,0.402516,0.7756447348528177,0.730913002352488,0.7526147958482317,False
M82_category_empty,80,0.38741,0.7714114518617798,0.733892439639586,0.7521843736258527,False
M82_category_empty,81,0.371045,0.767041531369334,0.7367335587455037,0.7515821226539606,False
M82_category_empty,82,0.353879,0.7626418569270904,0.7389428095727099,0.7506053158748445,False
M82_category_empty,83,0.337169,0.7574152365080021,0.7408428333466716,0.7490373803078598,False
M82_category_empty,84,0.319367,0.7522773355795125,0.7424080098395701,0.7473100893999972,False
M82_category_empty,85,0.30329,0.7474361010311736,0.743843177763856,0.7456353112016536,False
M82_category_empty,86,0.286387,0.7427528522793416,0.7453156161400187,0.74403202740309,False
M82_category_empty,87,0.266889,0.7372039779830154,0.7465920971526075,0.7418683378054859,False
M82_category_empty,88,0.245145,0.7317295198239379,0.74769828796333,0.7396277213997847,False
M82_category_empty,89,0.221493,0.7260276338922745,0.7487009377586026,0.7371899897827304,False
M82_category_empty,90,0.193596,0.7193839722712169,0.7493836581001191,0.7340774423016178,False
M82_category_empty,91,0.169058,0.7120211307107986,0.7500064344400545,0.7305203297384908,False
M82_category_empty,92,0.14202,0.7046680347245334,0.7507006932016812,0.726956367818277,False
M82_category_empty,93,0.115694,0.695784432125644,0.7512658628542536,0.7224615392773066,False
M82_category_empty,94,0.095853,0.6854070229860875,0.7516135534982857,0.7169851518752508,False
M82_category_empty,95,0.079123,0.6767377448389701,0.7520627165947794,0.712414701063448,False
M82_category_empty,96,0.065554,0.6673483349768626,0.7523654402041817,0.7073113363999973,False
M82_category_empty,97,0.054925,0.657138089917215,0.7525269971229913,0.7016051657189628,False
M82_category_empty,98,0.044898,0.6461098120893252,0.7526299843043449,0.6953139089706859,False
M82_category_empty,99,-inf,0.6365278422882208,0.7530440670743711,0.689900985955696,False
M82_category_swapped,0,inf,1.0,0.0,0.0,False
M82_category_swapped,1,0.952447,0.9780018248351432,0.021229745193157876,0.04155739302573367,False
M82_category_swapped,2,0.947782,0.9647482679984519,0.03798843005728314,0.07309849569244979,False
M82_category_swapped,3,0.944209,0.95849914073899,0.05211359310755908,0.09885257238803254,False
M82_category_swapped,4,0.941261,0.9539844190911132,0.06467499901482268,0.12113752696577441,False
M82_category_swapped,5,0.938564,0.9543627864044083,0.07638580633782822,0.14145014893374214,False
M82_category_swapped,6,0.936317,0.9530806778277207,0.08703360712512626,0.15950179797091696,False
M82_category_swapped,7,0.933981,0.9522713646060764,0.09744293612904431,0.17679499592192838,False
M82_category_swapped,8,0.931589,0.9507510059839785,0.10780438527287917,0.19365094844206202,False
M82_category_swapped,9,0.929163,0.9461072130921536,0.11745838839360201,0.2089729647933803,False
M82_category_swapped,10,0.926827,0.9449206622320109,0.12701806984032415,0.223934437814216,False
M82_category_swapped,11,0.924494,0.9384482516622259,0.1371367064879986,0.23930364861871467,False
M82_category_swapped,12,0.921455,0.9353014549444559,0.14753728797323615,0.2548705262024706,False
M82_category_swapped,13,0.918906,0.9331569499870583,0.1577133229056717,0.2698236207037107,False
M82_category_swapped,14,0.915453,0.9312337201169427,0.1684790688363478,0.285335210448252,False
M82_category_swapped,15,0.912217,0.930521229769126,0.17876078174558527,0.2999069681789144,False
M82_category_swapped,16,0.908443,0.9274798343577804,0.1901267412658396,0.31556492658935753,False
M82_category_swapped,17,0.904634,0.9274310489640115,0.20131930953254143,0.3308256374158141,False
M82_category_swapped,18,0.900631,0.888073782111197,0.21224641956905585,0.3426102334182641,False
M82_category_swapped,19,0.896606,0.8785796196900629,0.22248283757299195,0.3550550389454353,False
M82_category_swapped,20,0.892978,0.8771555981520358,0.23223004317620896,0.3672336739228256,False
M82_category_swapped,21,0.889212,0.8765875974042909,0.24199354066515102,0.37928144714675727,False
M82_category_swapped,22,0.885063,0.8746789812781032,0.2514026613287684,0.3905518310245994,False
M82_category_swapped,23,0.881583,0.872951565131401,0.25936313976729736,0.39990906736040716,False
M82_category_swapped,24,0.87786,0.8720245572657448,0.2667448359377819,0.40852528852607667,False
