condition,sequence,valid_frames,mean_iou,low_iou_frames,failure_episodes
empty,mobilephone02_indoor,610,0.8430071764342066,4,0
empty,notebook02_indoor,2494,0.8505289407161062,83,3
category_empty,bag05_indoor,587,0.8434937394263785,14,0
category_empty,ball07_indoor,2179,0.8158983467037926,241,4
category_empty,ball19_indoor,1380,0.8438082284680208,19,1
category_empty,beautifullight01_indoor,910,0.3515939313405967,544,10
category_empty,book06_indoor,1545,0.6512695323140062,378,3
category_empty,car01_indoor,1402,0.7117113044861471,336,3
category_empty,car02_indoor,565,0.9071507502126431,14,1
category_empty,colacan01_indoor,2801,0.48565838007126405,1185,10
category_empty,colacan04_indoor,567,0.6044387105544305,186,5
category_empty,container01_indoor,621,0.8762650941402909,37,1
category_empty,cup08_indoor,1321,0.885704285372935,1,0
category_empty,cup10_indoor,2147,0.8411065627084473,98,2
category_empty,cup13_indoor,1658,0.7965885116451533,66,2
category_empty,egg_indoor,3433,0.6850693995769487,748,9
category_empty,flower02_wild,467,0.6608755812462288,94,1
category_empty,flower03_indoor,547,0.845644324474952,1,0
category_empty,flowerbasket_indoor,851,0.7826772554105954,103,2
category_empty,ghostmask_indoor,1025,0.6735902786469905,258,3
category_empty,glass03_indoor,570,0.895940957719659,28,1
category_empty,mobilephone01_indoor,1217,0.6727592016965148,290,7
category_empty,mobilephone02_indoor,610,0.8434314809256658,4,0
category_empty,notebook02_indoor,2494,0.8608831601382657,49,1
category_swapped,bag05_indoor,587,0.8481473568112272,12,0
category_swapped,ball07_indoor,2179,0.7875699876753237,309,8
category_swapped,ball19_indoor,1380,0.8423742880260161,19,1
category_swapped,beautifullight01_indoor,910,0.6132570932311336,272,4
category_swapped,book06_indoor,1545,0.8064701813097185,109,3
category_swapped,car01_indoor,1402,0.7406443412193877,293,3
category_swapped,car02_indoor,565,0.8999635538778537,19,1
category_swapped,colacan01_indoor,2801,0.26656586711806574,1922,10
category_swapped,colacan04_indoor,567,0.5189963392104835,243,7
category_swapped,container01_indoor,621,0.9257668279894212,3,0
category_swapped,cup08_indoor,1321,0.8256755660400289,100,1
category_swapped,cup10_indoor,2147,0.8660580681848196,40,1
category_swapped,cup13_indoor,1658,0.3963776318979845,870,7
category_swapped,egg_indoor,3433,0.7373151554816861,532,6
category_swapped,flower02_wild,467,0.6544724788176676,100,1
category_swapped,flower03_indoor,547,0.8428988768504276,1,0
category_swapped,flowerbasket_indoor,851,0.7815178265292445,106,1
category_swapped,ghostmask_indoor,1025,0.7022967269070199,225,3
category_swapped,glass03_indoor,570,0.890386512678305,32,1
category_swapped,mobilephone01_indoor,1217,0.5291993926247837,483,8
category_swapped,mobilephone02_indoor,610,0.8436321197392135,4,0
category_swapped,notebook02_indoor,2494,0.8609675697704431,50,1
