condition,sequence,valid_frames,mean_iou,low_iou_frames,H10_episodes
multi_M78_empty_trained,book06_indoor,1545,0.8313589297379842,61,2
multi_M78_empty_trained,car01_indoor,1402,0.7527780974902311,271,3
multi_M78_empty_trained,car02_indoor,565,0.9092654289210294,14,1
multi_M78_empty_trained,colacan01_indoor,2801,0.6948536347552796,478,8
multi_M78_empty_trained,colacan04_indoor,567,0.6062391560713569,182,4
multi_M78_empty_trained,container01_indoor,621,0.9208877980571095,4,0
multi_M78_empty_trained,cup08_indoor,1321,0.8857143714812895,1,0
multi_M78_empty_trained,cup10_indoor,2147,0.8709650052106453,70,1
multi_M78_empty_trained,cup13_indoor,1658,0.77256173059767,115,3
multi_M78_empty_trained,egg_indoor,3433,0.7501933284804011,490,7
multi_M78_empty_trained,flower02_wild,467,0.6477109769741674,103,1
multi_M78_empty_trained,flower03_indoor,547,0.8488261315019137,0,0
multi_M78_empty_trained,flowerbasket_indoor,851,0.6798802175572989,197,2
multi_M78_empty_trained,ghostmask_indoor,1025,0.8604516603387796,11,0
multi_M78_empty_trained,glass03_indoor,570,0.4829347217018129,278,4
multi_M78_empty_trained,mobilephone01_indoor,1217,0.7440985583602896,197,5
multi_M78_empty_trained,mobilephone02_indoor,610,0.8446891967564935,3,0
multi_M78_empty_trained,notebook02_indoor,2494,0.8748875380876693,23,0
t0_native,bag05_indoor,587,0.8279253172403458,25,1
t0_native,ball07_indoor,2179,0.3656797293121897,1288,8
t0_native,ball19_indoor,1380,0.8376023386993889,19,1
t0_native,beautifullight01_indoor,910,0.6148167814582928,270,4
t0_native,book06_indoor,1545,0.6561600052875503,381,3
t0_native,car01_indoor,1402,0.39028989887698157,814,3
t0_native,car02_indoor,565,0.6931147174102164,143,2
t0_native,colacan01_indoor,2801,0.10115527899935023,2464,10
t0_native,colacan04_indoor,567,0.2765575051997759,392,12
t0_native,container01_indoor,621,0.9258524353783406,4,0
t0_native,cup08_indoor,1321,0.8313948629454425,103,1
t0_native,cup10_indoor,2147,0.8662969533094967,77,1
t0_native,cup13_indoor,1658,0.7701025858000975,111,3
t0_native,egg_indoor,3433,0.7347777865948814,523,9
t0_native,flower02_wild,467,0.6505474063201775,100,2
t0_native,flower03_indoor,547,0.8383055701525113,0,0
t0_native,flowerbasket_indoor,851,0.7620250104906767,123,3
t0_native,ghostmask_indoor,1025,0.7160860831905007,193,3
t0_native,glass03_indoor,570,0.7575939180713592,111,3
t0_native,mobilephone01_indoor,1217,0.7298451507172626,207,5
t0_native,mobilephone02_indoor,610,0.8512744411117056,1,0
t0_native,notebook02_indoor,2494,0.8579973833543286,48,1
