sequence,arm,frame,score,iou,quality
ball07_indoor,category,300,0.9188954830169678,0.9527582327395829,correct
ball07_indoor,category,400,0.786069393157959,0.9180091500208791,correct
ball07_indoor,category,450,0.9091895818710327,0.9650351454227922,correct
ball07_indoor,category,550,0.8787465691566467,0.9319824597011858,correct
ball07_indoor,category,600,0.9449906945228577,0.9342788864767618,correct
ball07_indoor,category,650,0.8436236381530762,0.9567177903029913,correct
ball07_indoor,category,700,0.8727254271507263,0.8791654781463869,correct
ball07_indoor,category,1150,0.7591552138328552,0.9160043520139116,correct
ball07_indoor,category,1200,0.9175447821617126,0.9792152459458623,correct
ball07_indoor,category,1300,0.7862408757209778,0.8838195951071358,correct
ball07_indoor,category,1550,0.894050121307373,0.9391835955962368,correct
ball07_indoor,category,1600,0.9315102100372314,0.9464950777163267,correct
ball07_indoor,category,1650,0.9227005243301392,0.9188918537799358,correct
ball07_indoor,category,1700,0.9250372052192688,0.9694263370783738,correct
ball07_indoor,category,1750,0.9195520877838135,0.9495910681898965,correct
ball07_indoor,category,1800,0.9367644190788269,0.9236210216758026,correct
ball07_indoor,category,1850,0.9204956889152527,0.9537293904522938,correct
ball07_indoor,category,1900,0.9192472100257874,0.9441160203465887,correct
ball07_indoor,category,1950,0.9254843592643738,0.9668148722264961,correct
ball07_indoor,category,2000,0.9278343915939331,0.9563769568236543,correct
ball07_indoor,category,2050,0.9057634472846985,0.9258637198947476,correct
ball07_indoor,category,2100,0.8715314865112305,0.9152761887968783,correct
ball07_indoor,category,2200,0.9190532565116882,0.9587107682722045,correct
ball07_indoor,category_empty,50,0.8454324007034302,0.9325778753235067,correct
ball07_indoor,category_empty,100,0.8366119861602783,0.9475326092058227,correct
ball07_indoor,category_empty,150,0.8766034245491028,0.8921875593871321,correct
ball07_indoor,category_empty,250,0.9174132943153381,0.9599728455419766,correct
ball07_indoor,category_empty,300,0.9085978269577026,0.9345991216168612,correct
ball07_indoor,category_empty,400,0.7953071594238281,0.9192811605039519,correct
ball07_indoor,category_empty,450,0.9158828854560852,0.9642434976371891,correct
ball07_indoor,category_empty,550,0.883197009563446,0.9194358756183159,correct
ball07_indoor,category_empty,600,0.9496652483940125,0.9262746170298813,correct
ball07_indoor,category_empty,650,0.8461346626281738,0.9285104774204702,correct
ball07_indoor,category_empty,700,0.8921228647232056,0.880977713448232,correct
ball07_indoor,category_empty,1600,0.8344711661338806,0.0,severe
ball07_indoor,category_empty,2150,0.9185658693313599,0.0,severe
ball07_indoor,category_empty,2250,0.7830304503440857,0.0,severe
ball07_indoor,category_swapped,50,0.8634273409843445,0.9732074569865576,correct
ball07_indoor,category_swapped,100,0.8048340082168579,0.9592513833393312,correct
ball07_indoor,category_swapped,150,0.8232541680335999,0.8999818363937906,correct
ball07_indoor,category_swapped,250,0.9128446578979492,0.9485563274608965,correct
ball07_indoor,category_swapped,300,0.9174537062644958,0.9450236846828544,correct
ball07_indoor,category_swapped,400,0.7666913866996765,0.9368540501299508,correct
ball07_indoor,category_swapped,450,0.9083642959594727,0.9678077074421106,correct
ball07_indoor,category_swapped,550,0.885664701461792,0.8903741148464371,correct
ball07_indoor,category_swapped,600,0.9439675807952881,0.9846769370675478,correct
ball07_indoor,category_swapped,650,0.8434007167816162,0.9613311095345771,correct
ball07_indoor,category_swapped,700,0.8824678659439087,0.9098782337178204,correct
ball07_indoor,category_swapped,1150,0.7942545413970947,0.9421007621408247,correct
ball07_indoor,category_swapped,1200,0.903499960899353,0.9744913417362298,correct
ball07_indoor,category_swapped,1550,0.9015583992004395,0.9469004002410262,correct
ball07_indoor,category_swapped,1600,0.9320458769798279,0.9364800896074792,correct
ball07_indoor,category_swapped,1650,0.9222789406776428,0.9298170453086979,correct
ball07_indoor,category_swapped,1700,0.9272588491439819,0.9368977279442023,correct
ball07_indoor,category_swapped,1750,0.9234122037887573,0.9514036439909519,correct
ball07_indoor,category_swapped,1800,0.9390192031860352,0.9350420955879456,correct
ball07_indoor,category_swapped,1850,0.9297513365745544,0.9523287098733579,correct
ball07_indoor,category_swapped,1900,0.9198668599128723,0.9375493556300986,correct
