condition,sequence,valid_frames,mean_iou,low_iou_frames,H10_episodes,invalid_gt_frames
swapped,cup08_indoor,1321,0.8931393375147638,1,0,129
swapped,cup10_indoor,2147,0.896453498327832,12,1,48
swapped,cup13_indoor,1658,0.35133569914032053,967,9,103
swapped,egg_indoor,3433,0.6102685589306768,1048,11,118
swapped,flower02_wild,467,0.7996657902577695,16,0,188
swapped,flower03_indoor,547,0.8462009676356331,0,0,196
swapped,flowerbasket_indoor,851,0.7694635029156293,112,2,149
swapped,ghostmask_indoor,1025,0.6769960395076682,243,4,139
swapped,glass03_indoor,570,0.9165633765937019,14,0,104
swapped,mobilephone01_indoor,1217,0.5618548953350283,436,6,200
swapped,mobilephone02_indoor,610,0.5624737188798269,207,1,90
swapped,notebook02_indoor,2494,0.8420400091078808,104,4,151
