sequence,model,condition,mean_iou,low_iou_frames,H10,valid_frames
mobilephone01_indoor,M78_raw,category,0.527275879230102,483,8,1217
mobilephone01_indoor,M78_raw,empty_trained,0.7610027075545155,168,3,1217
mobilephone01_indoor,M78_category_head,empty_content,0.5619782923470852,437,6,1217
mobilephone01_indoor,M78_category_head,swapped_content,0.5633785730907038,435,6,1217
mobilephone02_indoor,native,visual,0.8512744411117056,1,0,610
mobilephone02_indoor,M73,category,0.8409239687789775,4,0,610
mobilephone02_indoor,M73,empty_trained,0.6193439256271667,168,1,610
mobilephone02_indoor,M77_Hann,category,0.5630455758062423,208,1,610
mobilephone02_indoor,M77_Hann,empty_trained,0.8437600616909798,3,0,610
mobilephone02_indoor,M78_raw,category,0.8441935447526401,3,0,610
mobilephone02_indoor,M78_raw,empty_trained,0.8439827880810445,3,0,610
mobilephone02_indoor,M78_category_head,empty_content,0.8450777017318862,3,0,610
mobilephone02_indoor,M78_category_head,swapped_content,0.8436779644443303,3,0,610
notebook02_indoor,native,visual,0.8579973833543286,48,1,2494
notebook02_indoor,M73,category,0.8559754510129889,66,2,2494
notebook02_indoor,M73,empty_trained,0.8615144217196107,45,1,2494
notebook02_indoor,M77_Hann,category,0.853577553653043,72,3,2494
notebook02_indoor,M77_Hann,empty_trained,0.851815317524798,76,2,2494
notebook02_indoor,M78_raw,category,0.8499457696706101,78,3,2494
notebook02_indoor,M78_raw,empty_trained,0.8472706677929763,90,3,2494
notebook02_indoor,M78_category_head,empty_content,0.8513864612618371,74,3,2494
notebook02_indoor,M78_category_head,swapped_content,0.3625098586803959,1417,16,2494
